fips	minimum_wage
01001	7.25
01003	7.25
01005	7.25
01007	7.25
01009	7.25
01011	7.25
01013	7.25
01015	7.25
01017	7.25
01019	7.25
01021	7.25
01023	7.25
01025	7.25
01027	7.25
01029	7.25
01031	7.25
01033	7.25
01035	7.25
01037	7.25
01039	7.25
01041	7.25
01043	7.25
01045	7.25
01047	7.25
01049	7.25
01051	7.25
01053	7.25
01055	7.25
01057	7.25
01059	7.25
01061	7.25
01063	7.25
01065	7.25
01067	7.25
01069	7.25
01071	7.25
01073	7.25
01075	7.25
01077	7.25
01079	7.25
01081	7.25
01083	7.25
01085	7.25
01087	7.25
01089	7.25
01091	7.25
01093	7.25
01095	7.25
01097	7.25
01099	7.25
01101	7.25
01103	7.25
01105	7.25
01107	7.25
01109	7.25
01111	7.25
01113	7.25
01115	7.25
01117	7.25
01119	7.25
01121	7.25
01123	7.25
01125	7.25
01127	7.25
01129	7.25
01131	7.25
01133	7.25
02013	13.00
02016	13.00
02020	13.00
02050	13.00
02060	13.00
02068	13.00
02070	13.00
02090	13.00
02100	13.00
02105	13.00
02110	13.00
02122	13.00
02130	13.00
02150	13.00
02164	13.00
02170	13.00
02180	13.00
02185	13.00
02188	13.00
02195	13.00
02198	13.00
02220	13.00
02230	13.00
02240	13.00
02261	13.00
02270	13.00
02275	13.00
02282	13.00
02290	13.00
04001	15.15
04003	15.15
04005	15.15
04007	15.15
04009	15.15
04011	15.15
04012	15.15
04013	15.15
04015	15.15
04017	15.15
04019	15.15
04021	15.15
04023	15.15
04025	15.15
04027	15.15
05001	11.00
05003	11.00
05005	11.00
05007	11.00
05009	11.00
05011	11.00
05013	11.00
05015	11.00
05017	11.00
05019	11.00
05021	11.00
05023	11.00
05025	11.00
05027	11.00
05029	11.00
05031	11.00
05033	11.00
05035	11.00
05037	11.00
05039	11.00
05041	11.00
05043	11.00
05045	11.00
05047	11.00
05049	11.00
05051	11.00
05053	11.00
05055	11.00
05057	11.00
05059	11.00
05061	11.00
05063	11.00
05065	11.00
05067	11.00
05069	11.00
05071	11.00
05073	11.00
05075	11.00
05077	11.00
05079	11.00
05081	11.00
05083	11.00
05085	11.00
05087	11.00
05089	11.00
05091	11.00
05093	11.00
05095	11.00
05097	11.00
05099	11.00
05101	11.00
05103	11.00
05105	11.00
05107	11.00
05109	11.00
05111	11.00
05113	11.00
05115	11.00
05117	11.00
05119	11.00
05121	11.00
05123	11.00
05125	11.00
05127	11.00
05129	11.00
05131	11.00
05133	11.00
05135	11.00
05137	11.00
05139	11.00
05141	11.00
05143	11.00
05145	11.00
05147	11.00
05149	11.00
06001	16.90
06003	16.90
06005	16.90
06007	16.90
06009	16.90
06011	16.90
06013	16.90
06015	16.90
06017	16.90
06019	16.90
06021	16.90
06023	16.90
06025	16.90
06027	16.90
06029	16.90
06031	16.90
06033	16.90
06035	16.90
06037	17.81
06039	16.90
06041	16.90
06043	16.90
06045	16.90
06047	16.90
06049	16.90
06051	16.90
06053	16.90
06055	16.90
06057	16.90
06059	16.90
06061	16.90
06063	16.90
06065	16.90
06067	16.90
06069	16.90
06071	16.90
06073	16.90
06075	16.90
06077	16.90
06079	16.90
06081	16.90
06083	16.90
06085	16.90
06087	16.90
06089	16.90
06091	16.90
06093	16.90
06095	16.90
06097	16.90
06099	16.90
06101	16.90
06103	16.90
06105	16.90
06107	16.90
06109	16.90
06111	16.90
06113	16.90
06115	16.90
08001	15.16
08003	15.16
08005	15.16
08007	15.16
08009	15.16
08011	15.16
08013	16.82
08014	15.16
08015	15.16
08017	15.16
08019	15.16
08021	15.16
08023	15.16
08025	15.16
08027	15.16
08029	15.16
08031	15.16
08033	15.16
08035	15.16
08037	15.16
08039	15.16
08041	15.16
08043	15.16
08045	15.16
08047	15.16
08049	15.16
08051	15.16
08053	15.16
08055	15.16
08057	15.16
08059	15.16
08061	15.16
08063	15.16
08065	15.16
08067	15.16
08069	15.16
08071	15.16
08073	15.16
08075	15.16
08077	15.16
08079	15.16
08081	15.16
08083	15.16
08085	15.16
08087	15.16
08089	15.16
08091	15.16
08093	15.16
08095	15.16
08097	15.16
08099	15.16
08101	15.16
08103	15.16
08105	15.16
08107	15.16
08109	15.16
08111	15.16
08113	15.16
08115	15.16
08117	15.16
08119	15.16
08121	15.16
08123	15.16
08125	15.16
09001	16.94
09003	16.94
09005	16.94
09007	16.94
