fips	population
01001	60342
01003	253507
01005	24585
01007	21868
01009	59816
01011	9897
01013	18382
01015	116429
01017	34079
01019	25666
01021	46431
01023	12252
01025	22337
01027	14111
01029	15639
01031	55643
01033	58361
01035	11174
01037	10268
01039	37952
01041	13101
01043	92016
01045	49871
01047	36165
01049	72569
01051	90441
01053	36558
01055	103241
01057	15967
01059	31802
01061	26988
01063	7341
01065	14888
01067	17899
01069	108462
01071	53467
01073	662895
01075	13661
01077	96814
01079	33502
01081	183215
01083	114654
01085	9717
01087	18370
01089	412600
01091	18684
01093	29244
01095	100756
01097	411640
01099	19229
01101	224980
01103	125133
01105	7738
01107	18688
01109	33137
01111	22786
01113	58744
01115	95552
01117	233000
01119	11727
01121	81132
01123	40677
01125	237373
01127	64728
01129	15022
01131	9944
01133	23611
02013	3461
02016	5160
02020	286075
02050	18224
02060	844
02068	1584
02070	4607
02090	94840
02100	2070
02105	2262
02110	31555
02122	61223
02130	13738
02150	12565
02158	8001
02164	1331
02170	115239
02180	9763
02185	10603
02188	7361
02195	3427
02198	5696
02220	8282
02230	1095
02240	7077
02261	24447
02275	2064
02282	687
02290	5129
04001	65036
04003	124640
04005	144472
04007	54003
04009	39525
04011	9369
04012	16710
04013	4585871
04015	223682
04017	109175
04019	1063162
04021	484239
04023	49158
04025	249081
04027	213221
05001	16307
05003	18262
05005	42875
05007	311013
05009	38530
05011	10104
05013	4641
05015	28814
05017	9538
05019	21274
05021	14201
05023	25445
05025	7378
05027	22150
05029	21077
05031	113993
05033	61891
05035	47139
05037	16420
05039	6185
05041	10479
05043	16945
05045	129951
05047	17468
05049	12421
05051	99784
05053	18383
05055	46743
05057	19343
05059	33258
05061	12533
05063	38320
05065	14169
05067	16784
05069	63661
05071	26129
05073	6095
05075	16318
05077	8201
05079	12898
05081	11805
05083	21400
05085	75944
05087	17775
05089	17514
05091	42415
05093	38663
05095	6512
05097	8620
05099	8120
05101	7071
05103	21793
05105	10184
05107	14961
05109	10208
05111	22397
05113	19436
05115	64593
05117	8036
05119	400009
05121	18907
05123	22101
05125	129574
05127	9851
05129	7806
05131	129098
05133	15632
05135	17968
05137	12671
05139	37397
05141	16142
05143	261549
05145	78452
05147	5964
05149	20044
06001	1622188
06003	1141
06005	41811
06007	207172
06009	46565
06011	22037
06013	1155025
06015	26589
06017	192215
06019	1017162
06021	28129
06023	133985
06025	179057
06027	18527
06029	913820
06031	152682
06033	67878
06035	28861
06037	9663345
06039	162858
06041	254407
06043	16919
06045	89108
06047	291920
06049	8500
06051	13066
06053	430723
06055	133216
06057	102037
06059	3135755
06061	423561
06063	19131
06065	2492442
06067	1584288
06069	68175
06071	2195611
06073	3269973
06075	808988
06077	800965
06079	281639
06081	726353
06083	441257
06085	1877592
06087	261547
06089	180366
06091	3200
06093	42905
06095	449218
06097	481812
06099	551430
06101	97948
06103	64896
06105	15670
06107	479468
06109	54204
06111	829590
06113	220544
06115	85722
08001	533365
08003	16655
08005	656061
08007	14189
08009	3344
08011	5681
08013	326831
08014	76860
08015	20617
08017	1727
08019	9147
08021	7521
08023	3628
08025	5636
08027	5534
08029	31746
08031	716577
08033	2513
08035	383906
08037	54381
08039	28806
08041	744215
08043	50318
08045	62707
08047	5926
08049	15935
08051	17321
08053	765
08055	7055
08057	1309
08059	576366
08061	1384
08063	6994
08065	7365
08067	56407
08069	370771
08071	14348
08073	5480
08075	20619
08077	159681
08079	944
08081	13327
08083	26531
08085	44156
08087	29524
08089	18136
08091	5176
08093	18117
08095	4476
08097	16640
08099	11751
08101	169422
08103	6569
08105	11188
08107	25064
08109	6688
08111	802
08113	7868
08115	2299
08117	30465
08119	24617
08121	4855
08123	359442
08125	9862
09001	401908
09003	401908
09005	401908
09007	401908
09009	401908
09011	401908
09013	401908
09015	401908
10001	189789
10003	578592
10005	263509
11001	678972
12001	285994
12003	28368
12005	190769
12007	27858
12009	643979
12011	1962531
12013	13470
12015	206134
12017	166696
12019	232439
12021	404310
12023	73063
12027	35979
12029	17465
12031	1030822
12033	326928
12035	131439
12037	12594
12039	43833
12041	19587
12043	12786
12045	15693
12047	13471
12049	25760
12051	43333
12053	212807
12055	107614
12057	1535564
12059	19944
12061	169795
12063	48622
12065	15450
12067	8078
12069	424462
12071	834573
12073	296913
12075	46545
12077	7706
12079	18519
12081	441095
12083	409959
12085	163315
12086	2686867
12087	80614
12089	101501
12091	218464
12093	41427
12095	1471416
12097	437784
