fips	median_sale_price
01001	274500
01003	385000
01005	127000
01007	183000
01009	235000
01011	331979
01013	83000
01015	185000
01017	178900
01019	275000
01021	210000
01023	640000
01025	65000
01027	247500
01029	199550
01031	267000
01033	207450
01035	122500
01037	245000
01039	207250
01041	165000
01043	160000
01045	185000
01047	238750
01049	229400
01051	289000
01053	153000
01055	228950
01057	192000
01059	172500
01061	259000
01063	165000
01065	253000
01067	265000
01069	207450
01071	260950
01073	270000
01075	91250
01077	285450
01079	220000
01081	335000
01083	400000
01085	320000
01087	75000
01089	329000
01091	166750
01093	185000
01095	264950
01097	227950
01099	249000
01101	325000
01103	240000
01105	60000
01107	325000
01109	291900
01111	143000
01115	315000
01117	360000
01119	180000
01121	177100
01123	375000
01125	265000
01127	195000
01129	199900
01131	330000
01133	367500
02013	90000
02016	442200
02050	395000
02060	340000
02068	236500
02070	470000
02090	579500
02100	440000
02105	195000
02122	390000
02130	308500
02150	372000
02158	199000
02164	275000
02170	395000
02180	320000
02185	575000
02188	212500
02195	399000
02198	290000
02240	397900
02290	47000
04001	432500
04003	270000
04005	679000
04007	235000
04009	415000
04011	267464
04012	264000
04013	580000
04015	210000
04017	447500
04019	170000
04021	366450
04023	288000
04025	490000
04027	290000
05001	130000
05003	250000
05005	230000
05007	371063
05009	199000
05011	150000
05013	380000
05015	331000
05017	230000
05019	72500
05021	112500
05023	300000
05025	150000
05027	92750
05029	153000
05031	215000
05033	229000
05035	188950
05037	276250
05039	120000
05041	155000
05043	253000
05045	255000
05047	235980
05049	144000
05051	1062500
05053	277450
05055	135500
05057	103500
05059	120000
05061	185000
05063	131250
05065	178000
05067	97500
05069	148000
05071	173000
05073	315000
05075	168000
05077	125000
05079	155000
05081	96000
05083	850000
05085	237000
05087	329125
05089	189900
05091	205000
05093	43000
05095	53000
05097	291000
05099	67250
05101	133000
05103	177000
05105	206500
05107	15000
05109	73170
05111	222500
05113	169950
05115	197000
05117	88000
05119	235000
05121	188000
05123	160500
05125	303450
05127	165000
05129	95000
05131	283526
05133	160000
05135	95000
05137	275000
05139	210000
05141	190000
05143	355450
05145	219000
05147	105000
05149	206500
06001	1100000
06003	332500
06005	769000
