fips	white	black	asian	hispanic
01001	71.36	20.99	1.31	3.85
01003	82.27	8.22	1.15	5.78
01005	44.76	46.48	0.58	6.21
01007	73.71	20.37	0.3	3.61
01009	85.45	1.83	0.44	10.52
01011	22.3	69.92	0.34	6.17
01013	50.33	44.67	1.49	1.75
01015	69.69	22.03	0.9	4.76
01017	54.36	39.12	0.89	4.13
01019	90.85	4.22	0.43	1.92
01021	77.95	9.79	0.45	10.09
01023	56.86	40.47	0.33	1.26
01025	51.39	45.23	0.44	1.28
01027	80.03	13.47	0.35	3.43
01029	92.76	2.95	0.25	2.08
01031	67.96	16.36	1.74	9.94
01033	77.25	15.49	0.8	3.65
01035	49.76	44.36	0.55	3.09
01037	66.63	28.2	0.21	2.55
01039	82.5	12.31	0.58	2.08
01041	69.92	23.03	1.37	2.33
01043	91.06	1.24	0.67	5.12
01045	66.59	21.18	1.46	7.23
01047	26.5	70.59	0.61	1.13
01049	77.34	1.49	0.55	17.3
01051	71.96	21.74	0.73	3.48
01053	60.51	30.77	0.33	2.38
01055	76.59	14.98	0.84	5.38
01057	83.87	11.17	0.54	2.24
01059	73.34	3.66	0.4	20.61
01061	81.9	8.74	0.5	5.53
01063	17.9	79.46	0.35	0.79
01065	39.37	57.66	0.4	1.31
01067	70.91	23.93	0.58	2.25
01069	64.22	27.21	1.26	4.76
01071	88.29	3.3	0.61	3.67
01073	48.09	42.98	1.88	5.47
01075	85.61	10.09	0.12	2.05
01077	83.2	9.95	1.11	3.51
01079	76.11	9.93	0.32	3.26
01081	66.03	22.38	4.24	5.38
01083	73.2	14.1	2.2	7.69
01085	24.96	71.8	0.48	1.71
01087	17.29	78.35	0.6	2.32
01089	62.5	24.57	2.7	6.82
01091	44.29	51.22	0.36	2.84
01093	90.46	4.03	0.37	3.31
01095	76.78	2.72	0.8	17.52
01097	55.25	36.36	2.17	3.55
01099	53.02	41.69	0.58	1.44
01101	29.55	60.33	3.48	4.99
01103	72.72	12.9	0.72	10.63
01105	27.5	69.28	0.57	1.38
01107	52.75	38.73	0.38	6.73
01109	54.75	38.03	2.04	2.82
01111	76.39	17.89	0.65	2.87
01113	44.4	45.57	0.78	6.13
01115	82.88	11.26	0.84	3.03
01117	73.81	14.43	2.41	7.56
01119	26.51	69.11	1.69	1.44
01121	62.32	32.35	0.67	2.45
01123	68.54	26.4	0.57	2.93
01125	59.06	32.29	1.74	5.48
01127	87.46	6.12	0.51	3.89
01129	65.9	22.71	0.87	1.12
01131	27.92	68.85	0.26	1.31
01133	92.35	1.13	0.42	3.84
02013	9.56	9.04	44.18	20.75
02016	24.61	8.59	39.28	14.26
02020	55.19	5.12	10.38	9.6
02050	7.97	0.93	1.04	1.44
02060	41	0.95	2.13	8.06
02068	74.31	3.98	6.06	3.03
02070	14.48	0.65	1.04	3.73
02090	68.15	4.73	3.44	8.82
02100	75.51	0.87	1.74	4.15
02105	46.02	2.17	0.93	6.54
02110	63.21	1.26	7.34	7.42
02122	79.12	0.79	1.84	4.55
02130	62.22	1.12	8.64	5.79
02150	47.39	1.25	24.62	8.65
02158	2.76	0.39	0.42	0.25
02164	21.64	1.28	3.08	2.85
02170	77.32	1.25	1.75	5.51
02180	12.94	0.91	1.88	2.22
02185	31.03	1.67	5.65	5.42
02188	9.12	1.25	1.03	2.31
02195	67.84	2.19	7	5.19
02198	43.7	0.79	1.49	4.25
02220	61.12	1.16	8.48	7.28
02230	77.17	1.92	3.01	7.03
02240	71.82	2.18	3.18	6.05
02261	46.6	2.1	7.02	5.9
02275	61.92	1.02	3.44	4.36
02282	36.39	2.18	5.24	6.7
02290	21.76	0.94	1.77	2.42
04001	19.37	0.64	0.58	6.63
04003	55.72	3.69	2.23	34.79
04005	53.45	1.23	2.22	15.63
04007	62.39	0.64	0.89	18.28
04009	53.45	1.5	0.85	30.98
04011	45.03	1.59	1.14	46.89
04012	58.57	0.99	1.38	25.3
04013	53.21	6.08	5.14	31.41
04015	75.53	1.29	1.45	17.63
04017	43.51	0.87	0.81	11.1
04019	51.44	3.78	3.57	36.63
04021	55.37	5.78	2.21	30.17
04023	15.81	0.57	0.93	82.11
04025	78.75	0.82	1.46	15.69
04027	29.34	1.89	1.68	65.23
05001	67.67	24.97	0.86	4.31
05003	67.67	23.57	0.36	6.59
05005	93.36	0.55	0.68	3.04
05007	69.88	2	4.87	18.71
05009	92.54	0.55	0.7	3.36
05011	53.55	27.54	0.62	16.46
05013	72.68	21.03	0.32	2.93
05015	76.14	0.67	2.72	15.96
05017	38.68	52.39	0.81	6.67
05019	68.12	22.56	0.84	5.89
05021	94.08	0.9	0.25	2.55
05023	93.27	0.64	0.55	3.06
05025	83.17	10.75	1.02	2.78
05027	58.5	34.91	1.07	3.56
05029	79.79	11.42	0.64	5.03
05031	71.79	18.09	1.32	6.47
05033	81.9	1.73	1.91	8.96
05035	38.37	55.67	0.73	3.45
05037	72.11	22.8	0.94	2.29
05039	52.48	39.63	0.53	4.17
05041	42.63	47.08	1.14	7.48
05043	65.52	26.74	0.9	4.95
05045	77.62	12.43	1.3	5.75
05047	90.44	0.94	1.38	3.57
05049	93.03	1.01	0.43	2.17
05051	80.05	8.37	0.92	7.59
05053	91.26	3.2	0.57	3
05055	90.63	2.48	0.53	3.88
05057	51.31	29.28	0.64	15.65
05059	81.23	11.15	0.54	4.29
05061	63.03	20.54	0.93	12.57
05063	85.15	2.38	0.9	9.02
05065	91.59	2.74	0.48	3.07
05067	75.36	17.77	0.61	3.5
05069	37.04	57.29	0.97	2.81
05071	76.87	1.79	3.88	14.06
05073	59.08	33.6	0.75	4.22
05075	93.31	1.36	0.43	2.3
05077	40.4	53.62	0.62	3.4
05079	61.98	30.45	0.66	5.22
05081	72.03	19.16	0.55	4.16
05083	89.87	1.38	2.02	3.81
05085	83.79	6.52	1.09	5.69
05087	86.97	0.55	1.2	7.07
05089	92.82	0.65	0.7	2.92
05091	66.4	25.84	0.6	4.27
05093	56.92	35.65	0.59	5.07
05095	53.19	39.73	0.81	3.29
05097	89.37	0.66	1.4	5.03
05099	62.49	29.82	0.48	4.99
05101	93.16	0.51	0.58	1.53
05103	54.42	39.65	0.54	2.75
05105	90.41	2.32	0.34	3.82
05107	33.4	61.95	0.79	2.19
05109	84.92	3.54	0.89	8.17
05111	84.6	8.47	0.39	3.82
05113	86.69	0.65	1.02	7.12
05115	81.45	3.08	1.26	11.46
05117	84.98	10.34	0.22	2.51
05119	48.93	37.91	2.37	8.34
05121	89.73	1.26	0.51	2.78
05123	39.65	53.33	0.62	3.95
05125	79.11	9.88	1.45	7.43
05127	83.28	1.09	2.82	8.09
05129	92.8	0.69	0.41	2.25
05131	66.88	6.61	4.65	16.36
05133	53.94	3.84	0.68	35.78
